date,state,positive
20200409,ID,1232
20200409,IL,16422
20200409,IN,6351
20200409,KS,1106
20200409,KY,1346
20200409,LA,18283
20200409,MA,18843
20200409,MD,6185
20200409,ME,560
20200409,MI,21504
20200409,MN,1242
20200409,MO,3539
20200409,MP,11
20200409,MS,2260
20200409,MT,354
20200409,NC,3651
20200409,ND,269
20200409,NE,567
20200409,NH,788
20200409,NJ,51027
20200409,NM,865
20200409,NV,2456
20200409,NY,159937
20200409,OH,5512
20200409,OK,1684
20200409,OR,1321
20200409,PA,18228
20200409,PR,683
20200409,RI,1727
20200409,SC,2792
20200409,SD,447
20200409,TN,4634
20200409,TX,10230
20200409,UT,1976
20200409,VA,4042
20200409,VI,46
20200409,VT,628
20200409,WA,9492
20200409,WI,2885
20200409,WV,523
20200409,WY,230
20200408,AK,226
20200408,AL,2369
20200408,AR,1000
20200408,AS,0
20200408,AZ,2726
20200408,CA,16957
20200408,CO,5429
20200408,CT,7781
20200408,DC,1440
20200408,DE,928
20200408,FL,15455
20200408,GA,9901
20200408,GU,125
20200408,HI,410
20200408,IA,1145
20200408,ID,1210
20200408,IL,15078
20200408,IN,5943
20200408,KS,1046
20200408,KY,1149
20200408,LA,17030
20200408,MA,16692
20200408,MD,5529
20200408,ME,537
20200408,MI,20589
20200408,MN,1154
20200408,MO,3327
20200408,MP,11
20200408,MS,2003
20200408,MT,332
20200408,NC,3426
20200408,ND,251
20200408,NE,519
20200408,NH,788
20200408,NJ,47437
20200408,NM,794
20200408,NV,2318
20200408,NY,149316
20200408,OH,5148
20200408,OK,1524
20200408,OR,1239
20200408,PA,16239
20200408,PR,620
20200408,RI,1450
20200408,SC,2552
20200408,SD,393
20200408,TN,4362
20200408,TX,9353
20200408,UT,1846
20200408,VA,3645
20200408,VI,45
20200408,VT,605
20200408,WA,9214
20200408,WI,2756
20200408,WV,462
20200408,WY,221
20200407,AK,213
20200407,AL,2119
20200407,AR,946
20200407,AS,0
20200407,AZ,2575
20200407,CA,15865
20200407,CO,5172
20200407,CT,7781
20200407,DC,1211
20200407,DE,928
20200407,FL,14747
20200407,GA,8818
20200407,GU,121
20200407,HI,387
20200407,IA,1048
20200407,ID,1170
20200407,IL,13549
20200407,IN,5507
20200407,KS,900
20200407,KY,1008
20200407,LA,16284
20200407,MA,15104
20200407,MD,4371
20200407,ME,519
20200407,MI,19823
20200407,MN,1069
20200407,MO,3037
20200407,MP,8
20200407,MS,1915
20200407,MT,319
20200407,NC,3221
20200407,ND,237
20200407,NE,447
20200407,NH,715
20200407,NJ,44416
20200407,NM,686
20200407,NV,2087
20200407,NY,138863
20200407,OH,4782
20200407,OK,1472
20200407,OR,1181
20200407,PA,14559
20200407,PR,573
20200407,RI,1230
20200407,SC,2417
20200407,SD,320
20200407,TN,4138
20200407,TX,8262
20200407,UT,1738
20200407,VA,3333
20200407,VI,43
20200407,VT,575
20200407,WA,8859
20200407,WI,2578
20200407,WV,412
20200407,WY,216
20200406,AK,191
20200406,AL,1968
20200406,AR,875
20200406,AS,0
20200406,AZ,2456
20200406,CA,14336
20200406,CO,4950
20200406,CT,6906
20200406,DC,1097
20200406,DE,673
20200406,FL,13324
20200406,GA,7314
20200406,GU,113
20200406,HI,371
20200406,IA,946
20200406,ID,1101
20200406,IL,12262
20200406,IN,4944
20200406,KS,845
20200406,KY,955
20200406,LA,14867
20200406,MA,13739
20200406,MD,4045
20200406,ME,499
20200406,MI,18850
20200406,MN,986
20200406,MO,2722
20200406,MP,8
20200406,MS,1738
20200406,MT,299
20200406,NC,2870
20200406,ND,225
20200406,NE,409
20200406,NH,669
20200406,NJ,41090
20200406,NM,624
20200406,NV,1953
20200406,NY,130689
20200406,OH,4450
20200406,OK,1327
20200406,OR,1132
20200406,PA,12980
20200406,PR,513
20200406,RI,1082
20200406,SC,2049
20200406,SD,288
20200406,TN,3802
20200406,TX,7276
20200406,UT,1675
20200406,VA,2878
20200406,VI,43
20200406,VT,543
20200406,WA,8523
20200406,WI,2440
20200406,WV,345
20200406,WY,210
20200405,AK,185
20200405,AL,1796
20200405,AR,830
20200405,AS,0
20200405,AZ,2269
20200405,CA,13438
20200405,CO,4565
20200405,CT,5675
20200405,DC,998
20200405,DE,673
20200405,FL,12151
20200405,GA,6647
20200405,GU,112
20200405,HI,351
20200405,IA,868
20200405,ID,1077
20200405,IL,11256
20200405,IN,4411
20200405,KS,747
20200405,KY,917
20200405,LA,13010
20200405,MA,12402
20200405,MD,3609
20200405,ME,470
20200405,MI,17567
20200405,MN,935
